Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625355,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",22/09/2013,23/09/2013 a 23/09/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625356,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",29/09/2013,30/09/2013 a 30/09/2013,13/05/2022,Chelonia mydas agassizi,Tartaruga-verde,Chelonia mydas,unranked,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Chelonia mydas,Espécie Ameaçada,Vulnerável,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625357,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",29/09/2013,30/09/2013 a 30/09/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625358,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",29/09/2013,30/09/2013 a 30/09/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625359,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",29/09/2013,30/09/2013 a 30/09/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625360,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",30/09/2013,01/10/2013 a 01/10/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625361,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",30/09/2013,01/10/2013 a 01/10/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625362,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",11/10/2013,12/10/2013 a 12/10/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625363,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",11/10/2013,12/10/2013 a 12/10/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Jociery Einhardt Vergara Parente,625364,"Nº Da Autorização/Licença Sisbio: 21570, Projeto: Avaliação Dos Efeitos Antropogênicos Nos Vertebrados Aquáticos E Seus Habitats",11/10/2013,12/10/2013 a 12/10/2013,13/05/2022,Lepidochelys olivacea,Tartaruga-oliva,Lepidochelys olivacea,species,1,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,Espécie Ameaçada,Em Perigo,Área Com 19 Km De Praia,Brasil,SE,Barra Dos Coqueiros,Espécie não Sensível,-10.813.153,-36.919.286,Coordenada de referência da área amostrada,Sem Informações,Descartado
